No,Kategori,Soal,Jawaban 1 (Skor 5),Jawaban 2 (Skor 4),Jawaban 3 (Skor 3),Jawaban 4 (Skor 2),Jawaban 5 (Skor 1)
1,Openness,Bagaimana reaksimu terhadap ide atau perspektif yang sangat berbeda?,Sangat tertarik dan ingin memahami lebih dalam,Terbuka untuk mempertimbangkannya,"Netral, tergantung topiknya",Cenderung skeptis dan bertahan,Tidak nyaman dan menolak membahasnya
2,Openness,Seberapa sering kamu membayangkan skenario atau ide kreatif yang tidak biasa?,"Sangat sering, imajinasi saya sangat aktif","Cukup sering, saya suka berimajinasi",Kadang-kadang saja,"Jarang, saya fokus pada hal praktis",Hampir tidak pernah
3,Openness,"Saat melihat karya seni atau teknologi yang rumit, apa yang kamu rasakan?",Terpesona dan ingin menggali filosofinya,Tertarik ingin tahu secara umum,Menikmati sekilas tanpa pikir dalam,Kurang suka hal-hal yang terlalu abstrak,Merasa hal tersebut membosankan
4,Openness,Bagaimana sikapmu terhadap perubahan prosedur atau cara kerja baru?,Sangat terbuka dan mendukung inovasi,Bersedia mencoba hal baru,Mengikuti saja arus yang ada,Agak sulit menerima perubahan,Menolak dan ingin cara lama
5,Openness,Seberapa besar minatmu pada diskusi filosofis tentang makna hidup?,"Sangat besar, saya suka berteori",Cukup berminat untuk menyimak,Kadang berminat jika topiknya seru,"Kurang berminat, terlalu berat",Tidak berminat sama sekali
6,Openness,"Jika ditawarkan belajar keahlian yang sangat jauh dari bidangmu, apa reaksimu?",Sangat bersemangat mencoba tantangan,Terbuka untuk menambah wawasan,Menerima jika memang bermanfaat,Agak malas karena harus mulai dari nol,Menolak karena merasa tidak butuh
7,Conscient.,"Jika ada tugas dengan tenggat lama, bagaimana cara Anda menanganinya?",Segera dicicil dan selesai awal,Dikerjakan bertahap sesuai jadwal,Dikerjakan saat mendekati hari H,Dikerjakan di menit terakhir,Sering terlambat mengumpulkan
8,Conscient.,Seberapa rapi kondisi lingkungan kerja atau tempat tinggalmu saat ini?,"Sangat teratur, semua ada tempatnya",Cukup rapi dan tertata,Berantakan di beberapa sudut,Cukup kacau dan sulit cari barang,Sangat berantakan dan tidak terurus
9,Conscient.,Seberapa disiplin kamu mengikuti jadwal harian yang sudah dibuat?,Sangat ketat dan tepat waktu,Cukup disiplin dan teratur,Mengikuti jadwal sebisa mungkin,Sering melenceng dari rencana,Hidup tanpa jadwal tetap
10,Conscient.,Seberapa teliti kamu dalam memeriksa hasil pekerjaan sebelum dikirim?,"Sangat detail, nihil kesalahan",Cukup teliti memeriksa ulang,Memeriksa sekilas saja,Jarang memeriksa kembali,Tidak pernah memeriksa ulang
11,Conscient.,Bagaimana sikapmu terhadap janji atau komitmen yang telah dibuat?,Selalu ditepati apapun risikonya,Berusaha keras menepatinya,Menepati jika tidak ada halangan,Kadang lupa atau meleset,Sering ingkar janji
12,Conscient.,Apa yang kamu lakukan jika melihat meja kerja berantakan?,Langsung merapikannya saat itu,Merapikannya sebelum mulai kerja,Merapikannya jika sudah parah,Membiarkannya begitu saja,Nyaman dalam kekacauan
13,Extraversion,Bagaimana peranmu biasanya dalam merencanakan sebuah kegiatan kelompok?,Menjadi pengatur dan penggerak utama,Aktif memberikan ide dan bantuan,Mengikuti rencana yang disepakati,Menunggu instruksi dari yang lain,Pasif dan ikut-ikut saja
14,Extraversion,Bagaimana perasaanmu setelah menghabiskan waktu dengan banyak orang?,Sangat berenergi dan senang,Merasa cukup puas dan ceria,"Biasa saja, tidak ada perubahan",Merasa lelah secara mental,Sangat terkuras dan butuh menyendiri
15,Extraversion,Seberapa sering kamu memulai percakapan terlebih dahulu dengan orang baru?,"Sangat sering, saya suka kenalan",Cukup sering jika ada kesempatan,Kadang-kadang saja,"Jarang, hanya jika sangat perlu",Hampir tidak pernah
16,Extraversion,Apa yang kamu lakukan saat berada di sebuah pesta yang ramai?,Berkeliling menyapa banyak orang,Mengobrol dengan beberapa grup,Menetap di satu grup yang dikenal,Lebih banyak diam di pojokan,Ingin cepat-cepat pulang
17,Extraversion,Bagaimana gaya bicaramu saat sedang bersemangat menjelaskan sesuatu?,Sangat lantang dan ekspresif,Cukup jelas dan antusias,Normal seperti biasanya,Tetap tenang dan terkontrol,Sangat pelan dan singkat
18,Extraversion,Apa reaksi kamu jika harus berbicara di depan umum secara mendadak?,Sangat siap dan tanpa beban,Berusaha tenang dan melakukannya,Sedikit gugup namun tetap maju,Sangat cemas dan gemetar,Menolak keras karena takut
19,Agreeable.,Apa yang kamu lakukan jika melihat rekan atau teman sedang kesulitan?,Langsung membantu tanpa diminta,Menawarkan bantuan dengan peduli,Membantu jika mereka meminta,Berempati tapi fokus tugas sendiri,Menganggap itu urusan mereka
20,Agreeable.,Bagaimana sikapmu saat terjadi konflik atau perbedaan pendapat di tim?,Berusaha mencari damai dan solusi,Mendengarkan dan mencoba paham,Tetap netral dan tidak ikut campur,Mempertahankan posisi saya dengan tegas,Cenderung konfrontatif untuk menang
21,Agreeable.,Seberapa mudah kamu memaafkan orang yang telah mengecewakanmu?,"Sangat mudah, saya cepat lupa",Cukup mudah jika dia minta maaf,Butuh waktu namun akhirnya memaafkan,"Sulit, saya akan terus ingat",Tidak akan pernah memaafkan
22,Agreeable.,Seberapa sering kamu memuji keberhasilan orang lain secara tulus?,"Sangat sering, setiap ada kesempatan",Cukup sering jika dia memang hebat,Sesekali saja saat teringat,Jarang sekali memberikan pujian,Hampir tidak pernah memuji
23,Agreeable.,Bagaimana perasaanmu saat harus memberikan kritik pada orang lain?,Sangat hati-hati agar tidak menyinggung,Berusaha objektif dan membangun,Merasa tidak enak tapi harus bicara,Menyampaikan dengan tegas dan kaku,Tidak peduli jika menyakitkan
24,Agreeable.,Seberapa besar rasa percayamu pada kebaikan hati orang asing?,"Sangat percaya, semua orang baik",Cukup percaya pada niat baik orang,"Netral, tergantung individunya","Kurang percaya, banyak yang licik",Sama sekali tidak percaya
25,Neuroticism,Seberapa sering kamu merasa cemas tanpa alasan yang jelas?,"Hampir tidak pernah, saya sangat tenang",Jarang sekali merasa cemas,Kadang jika sedang banyak pikiran,Cukup sering merasa gelisah,Setiap hari saya merasa cemas
26,Neuroticism,Bagaimana perasaanmu saat mendapatkan kritik tajam di depan umum?,Tetap tenang dan jadi bahan evaluasi,Sedikit terganggu tapi bisa fokus lagi,Memikirkannya terus sepanjang hari,Sangat sedih dan meragukan diri,Hancur dan sulit bangkit lagi
27,Neuroticism,Seberapa sering suasana hati (mood) kamu berubah secara mendadak?,"Sangat stabil, emosi saya tenang",Jarang mengalami perubahan drastis,Kadang berubah tergantung situasi,Sering mengalami mood swings,"Sangat labil, bisa marah/sedih tiba-tiba"
28,Neuroticism,Bagaimana perasaanmu menghadapi masa depan yang belum pasti?,Sangat optimis dan tidak khawatir,Cukup tenang menghadapinya,Terkadang khawatir secara wajar,Sering merasa takut akan masa depan,Sangat pesimis dan penuh ketakutan
29,Neuroticism,Seberapa cepat kamu merasa emosional saat menonton film atau berita duka?,Tetap tenang dan logis,Sedikit tersentuh namun terkendali,Ikut merasa sedih secara wajar,Mudah menangis dan terbawa suasana,Sangat terpukul dalam waktu lama
30,Neuroticism,Bagaimana reaksi kamu saat rencana besar tiba-tiba gagal total?,Tetap tenang dan cari solusi lain,Kecewa sebentar lalu bangkit,Merasa cukup stres dan sedih,Sangat terpukul dan sulit fokus,Putus asa dan ingin menyerah
